Reference,Qty,Value,Datasheet
IC8,1,MDBT50Q-1MV2,https://www.raytac.com/download/index.php?index_id=43
IC9,1,AP7333-33SAG-7,https://www.diodes.com//assets/Datasheets/AP7333.pdf
IC10,1,DRV134PA,http://www.ti.com/lit/ds/symlink/drv134.pdf
IC12,1,MCP73831T-2ACI_OT,http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf
IC13,1,PCM1808PWR,http://www.ti.com/lit/gpn/PCM1808
IC14,1,PCM5102APWR,https://componentsearchengine.com/Datasheets/2/PCM5102APWR.pdf
IC15,1,TL071CP,http://www.ti.com/lit/ds/symlink/tl071a.pdf
IC16,1,TL072QDREP,http://www.ti.com/lit/gpn/tl072-ep
J2,1,FTSH-105-01-L-DV-K,https://www.arrow.com/en/products/ftsh-105-01-l-dv-k/samtec
J3,1,NMJ4HCD2,https://componentsearchengine.com/Datasheets/5/NMJ4HCD2.pdf
J4,1,RAPC722X,http://www.switchcraft.com/Drawings/rapc722x_cd.pdf
J5,1,USB4736-GF-A,https://www.mouser.com/datasheet/3/1507/1/usb4736.pdf
PS2,1,R-78E3.3-0.5,http://www.recom-power.com/pdf/Innoline/R-78Exx-0.5.pdf
R1,1,RC0603FR-07100KL,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
S1,1,JS202011SCQN,https://www.ckswitches.com/media/1422/js.pdf
Y1,1,ASFL1-12.288MHZ-EC-T,https://abracon.com/Oscillators/ASFL1.pdf

